Inlet_Steam_Temperature,Outlet Steam Temperature ( C ),Steam_Pressure_at_Boiler_Outlet,Feedwater_Temperature,Steam Flow Rate Kg/h,Feed water temperature Kg/h,Boiler efficiency  %,Turbine efficiency %,Steam quantity %,CO2 emission rate Kg/h,Boliler pressure drop bar,Condenser cooling water flow rate m^3/h,Steam turbile RPM,Generator efficiency,Electrical power output MW
542.0091667,150.0091658,165.320524,218.0162995,58032.40775,660000,88,38,96,909.0290927,0.7,3002.251781,3608.340659,97.58968008,296
542.009366,150.009365,165.3209676,218.0166587,58033.01221,640000,92,42,98.5,909.2418983,0.3,3002.300709,3608.479121,97.59277606,310
542.0095652,150.0095642,165.3214014,218.0170103,58033.81569,648500,89.5,40.5,97,909.4390245,0.6,3002.349674,3608.617582,97.59587203,301
542.0097646,150.0097633,165.3218141,218.0173642,58034.58732,645800,90.2,40.2,98.2,909.6421243,0.5,3002.398667,3608.756044,97.59896801,303
542.0099639,150.0099622,165.3223109,218.0177213,58035.40407,648200,91.2,41.8,99.2,909.8336002,0.3,3002.447584,3608.894505,97.60206398,311
542.0101632,150.0101617,165.3227985,218.0180794,58036.10797,652800,89.7,40.5,97.8,910.0493052,0.5,3002.49654,3609.032967,97.60515996,304
542.0103624,150.0103608,165.3232152,218.0184345,58036.97322,647500,90.5,41,98.6,910.2606155,0.4,3002.545479,3609.171429,97.60825593,310.5
542.0105618,150.0105598,165.3236391,218.0187936,58037.7926,651200,89.8,40.7,97.9,910.4997699,0.5,3002.594415,3609.30989,97.61135191,305.2
542.0107608,150.0107593,165.3241019,218.0191491,58038.63857,647000,91.2,41.5,99.3,910.7089976,0.3,3002.64339,3609.448352,97.61444788,311.8
542.0109597,150.0109584,165.3245445,218.0195071,58039.42481,648200,90.7,40.9,98.9,910.9111707,0.4,3002.692331,3609.586813,97.61754386,309
542.0111587,150.0111575,165.3250294,218.0198598,58040.10632,644100,91.4,41.2,98.4,911.1343035,0.3,3002.741286,3609.725275,97.62063983,304.2
542.0113583,150.0113566,165.3254732,218.0202193,58040.77525,650000,90,40,98,911.3437051,0.5,3002.79025,3609.863736,97.62373581,300
542.0115577,150.0115554,165.3259412,218.0205717,58041.37474,655000,89,39,97,911.5252576,0.6,3002.839197,3610.002198,97.62683179,298
542.011757,150.0117547,165.3263801,218.0209234,58042.15395,645000,91,41,99,911.7289099,0.4,3002.888144,3610.140659,97.62992776,305
542.0119561,150.0119541,165.3267948,218.0212825,58042.94308,660000,88,38,96,911.9514204,0.7,3002.937046,3610.279121,97.63302374,296
542.0121554,150.0121535,165.3272876,218.021638,58043.72931,640000,92,42,98.5,912.1941705,0.3,3002.98597,3610.417582,97.63611971,310
542.0123548,150.0123526,165.327784,218.0219909,58044.6019,648500,89.5,40.5,97,912.3838019,0.6,3003.034954,3610.556044,97.63921569,301
542.0125542,150.0125516,165.328257,218.022341,58045.43534,645800,90.2,40.2,98.2,912.6025278,0.5,3003.083921,3610.694505,97.64231166,303
542.0127536,150.0127506,165.3287254,218.0226942,58046.1571,648200,91.2,41.8,99.2,912.8348538,0.3,3003.132831,3610.832967,97.64540764,311
542.0129528,150.0129496,165.3291407,218.0230499,58047.01522,652800,89.7,40.5,97.8,913.0251335,0.5,3003.181741,3610.971429,97.64850361,304
542.0131519,150.0131491,165.3295699,218.0234072,58047.87387,647500,90.5,41,98.6,913.2317882,0.4,3003.230671,3611.10989,97.65159959,310.5
542.0133515,150.0133485,165.3300162,218.02376,58048.70754,651200,89.8,40.7,97.9,913.4407863,0.5,3003.279636,3611.248352,97.65469556,305.2
542.0135505,150.0135476,165.3305147,218.0241146,58049.48222,647000,91.2,41.5,99.3,913.6579184,0.3,3003.328532,3611.386813,97.65779154,311.8
542.0137497,150.0137473,165.3309312,218.0244698,58050.07561,648200,90.7,40.9,98.9,913.8457165,0.4,3003.377448,3611.525275,97.66088751,309
542.0139489,150.0139467,165.3314201,218.0248277,58050.92553,644100,91.4,41.2,98.4,914.0302625,0.3,3003.426376,3611.663736,97.66398349,304.2
542.0141479,150.0141464,165.3318671,218.0251859,58051.56323,650000,90,40,98,914.2793601,0.5,3003.475368,3611.802198,97.66707946,300
542.0143471,150.0143456,165.3323358,218.0255415,58052.20035,655000,89,39,97,914.5261324,0.6,3003.524347,3611.940659,97.67017544,298
542.0145468,150.0145448,165.3328311,218.0258933,58052.81286,645000,91,41,99,914.7217294,0.4,3003.573329,3612.079121,97.67327141,305
542.014746,150.0147438,165.3332396,218.0262496,58053.42477,660000,88,38,96,914.9765515,0.7,3003.62227,3612.217582,97.67636739,296
542.0149454,150.0149431,165.3337336,218.0266043,58054.02677,640000,92,42,98.5,915.1654422,0.3,3003.67117,3612.356044,97.67946336,310
542.0151449,150.0151423,165.334208,218.0269539,58054.72725,648500,89.5,40.5,97,915.4040298,0.6,3003.72008,3612.494505,97.68255934,301
542.015344,150.0153418,165.3346128,218.0273062,58055.43771,645800,90.2,40.2,98.2,915.6188481,0.5,3003.769016,3612.632967,97.68565531,303
542.0155435,150.015541,165.3350282,218.0276612,58056.19739,648200,91.2,41.8,99.2,915.8349369,0.3,3003.817956,3612.771429,97.68875129,311
542.0157432,150.0157405,165.3354584,218.0280179,58057.04508,652800,89.7,40.5,97.8,916.0689931,0.5,3003.866888,3612.90989,97.69184727,304
542.0159427,150.0159397,165.3359229,218.0283774,58057.8508,647500,90.5,41,98.6,916.3005306,0.4,3003.915827,3613.048352,97.69494324,310.5
542.0161424,150.016139,165.3363935,218.0287353,58058.76991,651200,89.8,40.7,97.9,916.5365919,0.5,3003.964731,3613.186813,97.69803922,305.2
542.0163414,150.0163381,165.3368791,218.0290944,58059.56463,647000,91.2,41.5,99.3,916.791813,0.3,3004.013714,3613.325275,97.70113519,311.8
542.0165409,150.0165374,165.3373105,218.0294475,58060.12946,648200,90.7,40.9,98.9,917.0342367,0.4,3004.062636,3613.463736,97.70423117,309
542.0167405,150.0167363,165.3378098,218.0297979,58060.80088,644100,91.4,41.2,98.4,917.2562703,0.3,3004.11153,3613.602198,97.70732714,304.2
542.0169397,150.0169358,165.3382937,218.0301563,58061.45307,650000,90,40,98,917.4668914,0.5,3004.16049,3613.740659,97.71042312,300
542.0171388,150.0171349,165.3387835,218.0305143,58062.08616,655000,89,39,97,917.7103245,0.6,3004.20942,3613.879121,97.71351909,298
542.0173383,150.0173339,165.3392243,218.0308688,58062.73999,645000,91,41,99,917.9096039,0.4,3004.258389,3614.017582,97.71661507,305
542.0175374,150.0175334,165.3396905,218.0312276,58063.3846,660000,88,38,96,918.0915412,0.7,3004.307301,3614.156044,97.71971104,296
542.0177368,150.0177326,165.3401195,218.031581,58063.97223,640000,92,42,98.5,918.3164963,0.3,3004.356246,3614.294505,97.72280702,310
542.0179357,150.0179323,165.3405441,218.031937,58064.53537,648500,89.5,40.5,97,918.5081309,0.6,3004.405224,3614.432967,97.72590299,301
542.0181348,150.0181316,165.3409993,218.0322879,58065.35129,645800,90.2,40.2,98.2,918.7413832,0.5,3004.454143,3614.571429,97.72899897,303
542.0183339,150.0183305,165.3414012,218.0326462,58066.28143,648200,91.2,41.8,99.2,918.9943486,0.3,3004.503121,3614.70989,97.73209494,311
542.0185336,150.0185301,165.3418038,218.0329985,58067.11875,652800,89.7,40.5,97.8,919.1945353,0.5,3004.552027,3614.848352,97.73519092,304
542.0187325,150.0187295,165.3422447,218.0333578,58067.91952,647500,90.5,41,98.6,919.4148964,0.4,3004.600952,3614.986813,97.73828689,310.5
542.018932,150.0189284,165.3427406,218.0337154,58068.56554,651200,89.8,40.7,97.9,919.608621,0.5,3004.649927,3615.125275,97.74138287,305.2
542.019131,150.0191275,165.3432181,218.0340718,58069.29156,647000,91.2,41.5,99.3,919.81105,0.3,3004.698856,3615.263736,97.74447884,311.8
542.0193307,150.0193265,165.3436993,218.0344232,58070.18622,648200,90.7,40.9,98.9,919.9956024,0.4,3004.747792,3615.402198,97.74757482,309
542.0195296,150.0195253,165.344105,218.0347821,58070.96838,644100,91.4,41.2,98.4,920.2157228,0.3,3004.796772,3615.540659,97.75067079,304.2
542.0197292,150.0197247,165.344532,218.0351337,58071.7576,650000,90,40,98,920.3969439,0.5,3004.845734,3615.679121,97.75376677,300
542.0199289,150.0199242,165.3450071,218.0354841,58072.34593,655000,89,39,97,920.6487531,0.6,3004.89466,3615.817582,97.75686275,298
542.0201279,150.0201234,165.3454459,218.0358405,58073.12858,645000,91,41,99,920.9001141,0.4,3004.943625,3615.956044,97.75995872,305
542.0203271,150.0203228,165.3458911,218.0361952,58073.99819,660000,88,38,96,921.1168571,0.7,3004.992576,3616.094505,97.7630547,296
542.0205265,150.0205223,165.3463313,218.0365455,58074.76689,640000,92,42,98.5,921.3105013,0.3,3005.041464,3616.232967,97.76615067,310
542.0207255,150.0207215,165.3467358,218.036902,58075.36138,648500,89.5,40.5,97,921.5179918,0.6,3005.090369,3616.371429,97.76924665,301
542.020925,150.0209208,165.3472067,218.037256,58076.17475,645800,90.2,40.2,98.2,921.7054639,0.5,3005.13929,3616.50989,97.77234262,303
542.0211245,150.0211201,165.3476668,218.0376133,58077.07973,648200,91.2,41.8,99.2,921.9149278,0.3,3005.188285,3616.648352,97.7754386,311
542.0213242,150.0213194,165.3481031,218.0379705,58077.76771,652800,89.7,40.5,97.8,922.1525349,0.5,3005.237178,3616.786813,97.77853457,304
542.0215236,150.0215185,165.348529,218.0383248,58078.37628,647500,90.5,41,98.6,922.3835055,0.4,3005.286106,3616.925275,97.78163055,310.5
542.0217225,150.0217177,165.3489322,218.0386805,58079.01034,651200,89.8,40.7,97.9,922.6188539,0.5,3005.335063,3617.063736,97.78472652,305.2
542.0219215,150.0219167,165.3493401,218.0390359,58079.57265,647000,91.2,41.5,99.3,922.8463464,0.3,3005.384042,3617.202198,97.7878225,311.8
542.0221207,150.0221156,165.349816,218.0393872,58080.28267,648200,90.7,40.9,98.9,923.0859458,0.4,3005.432969,3617.340659,97.79091847,309
542.0223198,150.0223146,165.3502518,218.0397393,58080.8797,644100,91.4,41.2,98.4,923.2659186,0.3,3005.481944,3617.479121,97.79401445,304.2
542.022519,150.0225141,165.3506988,218.0400897,58081.72492,650000,90,40,98,923.4703359,0.5,3005.530883,3617.617582,97.79711042,300
542.0227186,150.0227132,165.3511592,218.0404451,58082.55418,655000,89,39,97,923.6661357,0.6,3005.579858,3617.756044,97.8002064,298
542.0229181,150.0229121,165.3516405,218.0407958,58083.12455,645000,91,41,99,923.8855705,0.4,3005.628817,3617.894505,97.80330237,305
542.0231176,150.0231115,165.352089,218.0411511,58084.0562,660000,88,38,96,924.0694752,0.7,3005.67772,3618.032967,97.80639835,296
542.0233166,150.0233104,165.3525683,218.0415101,58084.75548,640000,92,42,98.5,924.2949633,0.3,3005.726646,3618.171429,97.80949432,310
542.0235157,150.0235099,165.3529717,218.041865,58085.38756,648500,89.5,40.5,97,924.4845313,0.6,3005.775629,3618.30989,97.8125903,301
542.0237152,150.0237093,165.3534521,218.0422212,58086.15569,645800,90.2,40.2,98.2,924.6754173,0.5,3005.824595,3618.448352,97.81568627,303
542.0239144,150.0239084,165.3538639,218.0425703,58086.83111,648200,91.2,41.8,99.2,924.8693747,0.3,3005.873567,3618.586813,97.81878225,311
542.0241134,150.0241075,165.3542921,218.0429217,58087.60259,652800,89.7,40.5,97.8,925.1069535,0.5,3005.922518,3618.725275,97.82187822,304
542.024313,150.0243072,165.3547868,218.0432727,58088.20841,647500,90.5,41,98.6,925.2904124,0.4,3005.971463,3618.863736,97.8249742,310.5
542.0245125,150.0245067,165.3552444,218.0436258,58088.95508,651200,89.8,40.7,97.9,925.5161978,0.5,3006.02043,3619.002198,97.82807018,305.2
542.0247116,150.0247056,165.3557343,218.0439797,58089.79516,647000,91.2,41.5,99.3,925.7199138,0.3,3006.069386,3619.140659,97.83116615,311.8
542.0249111,150.0249046,165.3561377,218.0443372,58090.54577,648200,90.7,40.9,98.9,925.9201817,0.4,3006.118309,3619.279121,97.83426213,309
542.0251102,150.0251036,165.3565698,218.0446965,58091.44747,644100,91.4,41.2,98.4,926.1590258,0.3,3006.167198,3619.417582,97.8373581,304.2
542.0253096,150.0253033,165.3570527,218.0450459,58092.11945,650000,90,40,98,926.3903544,0.5,3006.216119,3619.556044,97.84045408,300
542.0255087,150.0255028,165.357483,218.0454046,58092.89558,655000,89,39,97,926.6170189,0.6,3006.26506,3619.694505,97.84355005,298
542.0257083,150.0257018,165.357974,218.0457543,58093.75696,645000,91,41,99,926.8587333,0.4,3006.314013,3619.832967,97.84664603,305
542.0259076,150.025901,165.358446,218.0461076,58094.63732,660000,88,38,96,927.087783,0.7,3006.362981,3619.971429,97.849742,296
542.0261066,150.0261,165.3589447,218.0464672,58095.18778,640000,92,42,98.5,927.3141326,0.3,3006.411929,3620.10989,97.85283798,310
542.0263059,150.0262994,165.35937,218.046825,58095.92049,648500,89.5,40.5,97,927.5517217,0.6,3006.460874,3620.248352,97.85593395,301
542.0265055,150.0264986,165.3597851,218.0471808,58096.80185,645800,90.2,40.2,98.2,927.7409411,0.5,3006.50977,3620.386813,97.85902993,303
542.0267052,150.0266982,165.3602746,218.0475341,58097.5358,648200,91.2,41.8,99.2,927.9212801,0.3,3006.55866,3620.525275,97.8621259,311
542.0269046,150.0268978,165.3607465,218.0478896,58098.40701,652800,89.7,40.5,97.8,928.1064869,0.5,3006.607589,3620.663736,97.86522188,304
542.0271038,150.0270975,165.3611494,218.0482462,58099.15686,647500,90.5,41,98.6,928.3166269,0.4,3006.656555,3620.802198,97.86831785,310.5
542.027303,150.0272964,165.361552,218.0485958,58100.08106,651200,89.8,40.7,97.9,928.5560413,0.5,3006.705468,3620.940659,97.87141383,305.2
542.0275026,150.027496,165.3620324,218.0489462,58101.00157,647000,91.2,41.5,99.3,928.7487259,0.3,3006.754374,3621.079121,97.8745098,311.8
542.0277015,150.0276952,165.3624643,218.0492977,58101.92793,648200,90.7,40.9,98.9,928.9276939,0.4,3006.803344,3621.217582,97.87760578,309
542.0279006,150.0278945,165.3629054,218.0496556,58102.53606,644100,91.4,41.2,98.4,929.1502675,0.3,3006.852242,3621.356044,97.88070175,304.2
542.0281001,150.0280938,165.3633709,218.0500115,58103.27862,650000,90,40,98,929.3991621,0.5,3006.90118,3621.494505,97.88379773,300
542.0282997,150.0282929,165.3637947,218.0503675,58103.93492,655000,89,39,97,929.5793165,0.6,3006.950124,3621.632967,97.8868937,298
542.0284986,150.0284923,165.3642189,218.0507166,58104.76362,645000,91,41,99,929.8172659,0.4,3006.999062,3621.771429,97.88998968,305
542.0286978,150.0286918,165.3646437,218.0510725,58105.43634,660000,88,38,96,930.0238463,0.7,3007.047968,3621.90989,97.89308566,296
542.028897,150.0288909,165.3651129,218.051431,58106.09829,640000,92,42,98.5,930.2074201,0.3,3007.096908,3622.048352,97.89618163,310
542.0290966,150.0290902,165.3656118,218.0517856,58106.73285,648500,89.5,40.5,97,930.4508536,0.6,3007.145878,3622.186813,97.89927761,301
542.0292963,150.0292892,165.3660269,218.0521431,58107.3773,645800,90.2,40.2,98.2,930.7015296,0.5,3007.194792,3622.325275,97.90237358,303
542.0294957,150.0294889,165.3664519,218.0524979,58108.22343,648200,91.2,41.8,99.2,930.9044705,0.3,3007.243755,3622.463736,97.90546956,311
542.0296952,150.0296878,165.3668933,218.0528471,58108.85975,652800,89.7,40.5,97.8,931.1241416,0.5,3007.292649,3622.602198,97.90856553,304
542.0298944,150.0298872,165.3672968,218.0531996,58109.6781,647500,90.5,41,98.6,931.3387199,0.4,3007.341606,3622.740659,97.91166151,310.5
542.030094,150.0300867,165.3677773,218.0535567,58110.4635,651200,89.8,40.7,97.9,931.5908567,0.5,3007.390512,3622.879121,97.91475748,305.2
542.0302936,150.0302861,165.3682568,218.053914,58111.3454,647000,91.2,41.5,99.3,931.8217532,0.3,3007.439418,3623.017582,97.91785346,311.8
542.0304933,150.030485,165.3687377,218.0542684,58112.0743,648200,90.7,40.9,98.9,932.003051,0.4,3007.488413,3623.156044,97.92094943,309
542.0306925,150.0306845,165.3691383,218.0546204,58112.9293,644100,91.4,41.2,98.4,932.212788,0.3,3007.537329,3623.294505,97.92404541,304.2
542.0308914,150.0308841,165.3695487,218.0549729,58113.69075,650000,90,40,98,932.4398317,0.5,3007.586217,3623.432967,97.92714138,300
542.0310903,150.0310833,165.3699553,218.0553302,58114.50767,655000,89,39,97,932.6840084,0.6,3007.635188,3623.571429,97.93023736,298
542.0312899,150.0312824,165.3703692,218.0556794,58115.09593,645000,91,41,99,932.8693295,0.4,3007.684175,3623.70989,97.93333333,305
542.0314891,150.0314819,165.3708615,218.0560308,58115.75919,660000,88,38,96,933.0633835,0.7,3007.73309,3623.848352,97.93642931,296
542.0316884,150.031681,165.3713085,218.0563894,58116.60167,640000,92,42,98.5,933.2528592,0.3,3007.781981,3623.986813,97.93952528,310
542.0318874,150.0318799,165.3717712,218.0567417,58117.31841,648500,89.5,40.5,97,933.4336712,0.6,3007.830958,3624.125275,97.94262126,301
542.0320864,150.032079,165.3722381,218.057096,58118.16535,645800,90.2,40.2,98.2,933.6424556,0.5,3007.879923,3624.263736,97.94571723,303
542.0322858,150.0322784,165.3727114,218.0574453,58119.08609,648200,91.2,41.8,99.2,933.8739335,0.3,3007.928828,3624.402198,97.94881321,311
542.0324852,150.032478,165.3731917,218.0577949,58119.93749,652800,89.7,40.5,97.8,934.1144253,0.5,3007.977727,3624.540659,97.95190918,304
542.0326842,150.0326777,165.373652,218.058148,58120.66536,647500,90.5,41,98.6,934.3626531,0.4,3008.026703,3624.679121,97.95500516,310.5
542.0328831,150.0328772,165.3741402,218.0585065,58121.34243,651200,89.8,40.7,97.9,934.549148,0.5,3008.075692,3624.817582,97.95810114,305.2
542.0330823,150.0330769,165.3745801,218.058864,58122.0727,647000,91.2,41.5,99.3,934.7729702,0.3,3008.124584,3624.956044,97.96119711,311.8
542.033282,150.0332758,165.375011,218.0592155,58122.63296,648200,90.7,40.9,98.9,934.9745642,0.4,3008.173476,3625.094505,97.96429309,309
542.0334814,150.0334753,165.3754437,218.0595663,58123.19121,644100,91.4,41.2,98.4,935.1883056,0.3,3008.222427,3625.232967,97.96738906,304.2
542.0336808,150.0336744,165.3758746,218.0599162,58123.80503,650000,90,40,98,935.3998028,0.5,3008.271352,3625.371429,97.97048504,300
542.0338798,150.0338735,165.3763561,218.0602714,58124.44147,655000,89,39,97,935.5939276,0.6,3008.320313,3625.50989,97.97358101,298
542.0340789,150.0340729,165.3767702,218.0606208,58125.21419,645000,91,41,99,935.8054446,0.4,3008.369214,3625.648352,97.97667699,305
542.0342783,150.034272,165.3771715,218.0609792,58125.96459,660000,88,38,96,936.0230799,0.7,3008.418183,3625.786813,97.97977296,296
542.0344774,150.0344713,165.3776276,218.0613381,58126.73239,640000,92,42,98.5,936.24146,0.3,3008.467073,3625.925275,97.98286894,310
542.0346766,150.0346709,165.3780813,218.0616898,58127.51459,648500,89.5,40.5,97,936.4941101,0.6,3008.515996,3626.063736,97.98596491,301
542.0348761,150.0348704,165.3785662,218.0620428,58128.37748,645800,90.2,40.2,98.2,936.7370853,0.5,3008.564963,3626.202198,97.98906089,303
542.0350752,150.0350699,165.3790128,218.0623929,58129.27608,648200,91.2,41.8,99.2,936.9299573,0.3,3008.613868,3626.340659,97.99215686,311
542.0352744,150.0352696,165.3794425,218.0627454,58129.86659,652800,89.7,40.5,97.8,937.1799499,0.5,3008.662833,3626.479121,97.99525284,304
542.0354738,150.0354692,165.3799199,218.0630976,58130.73071,647500,90.5,41,98.6,937.3806277,0.4,3008.711786,3626.617582,97.99834881,310.5
