CT,V,AP,RH,RPM_GAS,EX_TEMP,RPM_STEAM,STEAM_PRESSURE,WATER_FR,POWER_1,POWER_2
279.27,69.89,1015.21,67.16,2801.101329,800.276033,2300.81597,450.692257,100.1341615,425.55,300.4103071
284.24,74.67,1016.24,25.56,2801.137559,800.2858819,2300.846421,450.7169745,100.1390199,425.58,300.4246475
282.56,68.94,1007.12,58.18,2801.178395,800.2957771,2300.874124,450.7415906,100.1440484,425.61,300.4395095
278.79,70.79,1003.83,65.9,2801.216842,800.305609,2300.902544,450.7663699,100.1486374,425.64,300.4544873
280.96,71.77,1006.26,52.76,2801.258509,800.3154973,2300.932342,450.7912348,100.1533031,425.66,300.4695036
281.46,70.79,1003.54,59.51,2801.300894,800.32537,2300.962414,450.8160143,100.1580711,425.68,300.4839606
281.01,69.13,1000.93,62.96,2801.338558,800.335235,2300.992373,450.8408988,100.1627864,425.69,300.4992635
280.26,72.58,1007,65.51,2801.374219,800.3451092,2301.020425,450.8656297,100.167613,425.71,300.5141826
282.63,69.89,1013.85,41.66,2801.415404,800.3549407,2301.048486,450.8903848,100.1723603,425.72,300.5292491
281.49,69.13,1009.33,53.9,2801.454754,800.3648293,2301.078512,450.9150803,100.1771289,425.74,300.5442122
280.01,69.13,1010.11,62.42,2801.495178,800.3746817,2301.107102,450.9398055,100.1817049,425.75,300.5591219
282.67,67.83,1007.81,42.16,2801.532638,800.3845241,2301.136998,450.9644872,100.186612,425.75,300.5742122
281.16,64.96,1001.71,44.85,2801.570931,800.3943618,2301.165301,450.9893578,100.1915411,425.82,300.5893557
282.95,67.9,1005.88,45.15,2801.610449,800.4042532,2301.195669,451.0138785,100.1963549,425.89,300.6039504
284.66,74.33,1012,32.19,2801.647978,800.4141104,2301.225005,451.0385371,100.2010985,425.89,300.6189316
281.4,66.54,1003.55,57.73,2801.683597,800.4239544,2301.253163,451.0633883,100.2058057,425.91,300.6332795
282.4,68.14,1004.44,34.53,2801.723139,800.433831,2301.282887,451.0882561,100.2106377,425.91,300.6474819
281.42,69.13,1009.34,57.16,2801.76233,800.4436857,2301.312581,451.1129216,100.2154864,425.98,300.6622593
277.63,71.98,1005.45,82.88,2801.799839,800.4535333,2301.341944,451.1374964,100.2203881,426,300.6764894
282.06,71.85,1007.9,56.44,2801.838183,800.4633903,2301.371748,451.1620716,100.2252879,426.07,300.6905803
280.85,68.94,1007.31,68.99,2801.876171,800.4732316,2301.401892,451.1869149,100.2299895,426.1,300.7057805
280.85,68.94,1007.31,68.99,2801.918634,800.4830767,2301.430482,451.2116733,100.2347999,426.1,300.7209532
280.03,67.9,1006.22,52.61,2801.960078,800.4929581,2301.458423,451.2362018,100.2393688,426.13,300.7358728
280.52,71.77,1006.22,56.4,2801.999989,800.5028059,2301.487431,451.2607236,100.2440313,426.14,300.750028
275.88,69.13,1002.44,85.67,2802.04218,800.5126941,2301.518091,451.2855531,100.2489677,426.14,300.7641636
275.88,69.13,1002.44,85.67,2802.083747,800.5225623,2301.547338,451.3103501,100.2537687,426.14,300.7793439
281.43,69.89,1014.8,56.22,2802.121805,800.5324095,2301.575803,451.3349672,100.2585271,426.15,300.7944936
277.4,69.13,1001.4,82.47,2802.158186,800.5422411,2301.605588,451.359827,100.2631149,426.18,300.8092432
278.26,72.43,1006.68,72.3,2802.195407,800.5520792,2301.635143,451.3845087,100.2677778,426.2,300.8234564
285.03,68.27,1006.55,43.82,2802.236561,800.5619758,2301.665757,451.4090485,100.2726961,426.22,300.8381518
273.54,67.83,1009.44,65.48,2802.276158,800.5718166,2301.693816,451.4339331,100.2776437,426.24,300.8524862
279.3,70.04,1010.95,61.23,2802.313599,800.5816698,2301.723593,451.4584573,100.282454,426.25,300.8666137
280.24,68.24,1009.68,64.67,2802.351368,800.5915542,2301.752191,451.4830456,100.2873125,426.25,300.8812538
280.24,68.24,1009.68,64.67,2802.38909,800.6014354,2301.780438,451.5078894,100.2920741,426.25,300.8957022
282.91,73.68,1014.49,50.62,2802.428889,800.611265,2301.809496,451.5326902,100.2966974,426.28,300.9100179
279.25,69.13,1010.27,67.35,2802.467809,800.6211309,2301.839967,451.5574247,100.301383,426.29,300.9244588
285.1,68.27,1006.96,43.51,2802.506202,800.6310059,2301.867694,451.5820102,100.3061594,426.3,300.9386133
281.05,69.13,1000.38,58.49,2802.546751,800.6408847,2301.897676,451.606541,100.3109964,426.31,300.9534415
281.67,69.89,1013.88,39.33,2802.586075,800.6507268,2301.926773,451.6312796,100.3160168,426.35,300.9679912
280.07,70.04,1010.84,55.74,2802.626743,800.6605957,2301.956428,451.6560923,100.3209574,426.35,300.9826852
281.95,70.79,1003.8,55.25,2802.667921,800.6704333,2301.986624,451.6806319,100.3259116,426.37,300.997974
282.89,73.68,1014.45,52.34,2802.707597,800.6803263,2302.014507,451.7052359,100.3308715,426.46,301.0125977
279.87,69.13,1001.08,72.75,2802.748661,800.6902014,2302.042359,451.7300329,100.3355727,426.47,301.0279085
282.26,73.68,1014.75,60.9,2802.789834,800.7000617,2302.071188,451.7547124,100.3403296,426.48,301.0428206
278.55,74.33,1011.77,73.34,2802.829,800.7099521,2302.101214,451.779314,100.3448882,426.48,301.0580254
281.8,69.05,1000.77,49.82,2802.86878,800.7197885,2302.131185,451.8041793,100.349445,426.5,301.0730975
280.3,71.98,1004.4,55.6,2802.91089,800.7296861,2302.161032,451.8289119,100.3540706,426.52,301.0882257
279.28,74.33,1011.66,72.37,2802.953204,800.7395235,2302.190005,451.8537687,100.3590222,426.53,301.1035144
279.72,68.24,1009.92,66.42,2802.994877,800.7494143,2302.218395,451.8784136,100.3640426,426.54,301.1177765
282.02,67.83,1007.77,53.31,2803.036776,800.759276,2302.246402,451.9031695,100.3686233,426.55,301.1323851
282.21,68.14,1003.34,62.44,2803.079044,800.7691643,2302.276135,451.9279268,100.3732837,426.56,301.147105
282.21,68.14,1003.34,62.44,2803.119486,800.7790001,2302.306669,451.9526157,100.3782299,426.56,301.1618708
276.85,69.84,1002.84,81.31,2803.160294,800.7888874,2302.336048,451.9772857,100.3828791,426.58,301.1760908
277.57,69.84,1004.91,68.37,2803.200767,800.7987404,2302.364386,452.0021147,100.3875718,426.6,301.1904181
282.92,69.05,1000.74,39.61,2803.239841,800.808612,2302.393666,452.0269221,100.3923682,426.61,301.2053817
279.59,71.77,1006.33,62.35,2803.279343,800.8184427,2302.423766,452.0516114,100.39725,426.62,301.2199424
281.01,67.69,1005.06,46.16,2803.320835,800.828339,2302.451834,452.0761586,100.4019142,426.64,301.2349596
278.88,66.56,1006.26,59.15,2803.357854,800.8382325,2302.481328,452.1007423,100.406801,426.66,301.2495188
281.38,68.27,1006.79,52.79,2803.393762,800.8481096,2302.511796,452.1256135,100.4114772,426.67,301.2644302
278.44,69.84,1003.25,68.24,2803.436308,800.8580005,2302.541507,452.1505028,100.4163122,426.69,301.2788311
282.37,67.83,1008.32,57.39,2803.477333,800.8678384,2302.570596,452.1752233,100.421251,426.76,301.2930412
280.73,69.89,1015,58.9,2803.51628,800.8777271,2302.600226,452.1999058,100.4260109,426.79,301.3074727
278.18,66.56,1005.69,65.67,2803.555823,800.8876177,2302.628526,452.2247399,100.4308195,426.79,301.3216388
280.15,70.32,1007.58,54.14,2803.592752,800.8974487,2302.658488,452.2493914,100.4353824,426.8,301.3361168
280.55,68.24,1009.43,63.84,2803.632959,800.9073293,2302.686788,452.2739261,100.440345,426.8,301.3512446
279.93,71.85,1008.43,66.64,2803.674361,800.9171607,2302.717348,452.2988064,100.4452615,426.82,301.3664563
281.81,66.44,1011.21,53.55,2803.714522,800.9270356,2302.745846,452.3235381,100.4500546,426.84,301.3806063
279.53,70.79,1003.7,60.89,2803.756849,800.9369271,2302.776457,452.3482977,100.4549268,426.85,301.3949111
282.41,67.83,1008.54,55.96,2803.792558,800.9467748,2302.806509,452.3728383,100.4596848,426.85,301.4100879
281.63,68.3,1014.8,42.02,2803.83365,800.9566328,2302.835824,452.3973875,100.4645384,426.86,301.4251645
278.8,71.77,1006.41,66.03,2803.871506,800.966509,2302.864005,452.4221333,100.4693596,426.87,301.4399864
283.3,68.14,1003.02,53.43,2803.913997,800.9764045,2302.892341,452.4470344,100.4741244,426.88,301.4551609
282.23,69.13,1000.61,55.1,2803.955239,800.9862411,2302.921823,452.4718695,100.4791443,426.9,301.4695483
280.14,67.69,1006.54,57.05,2803.995934,800.9961143,2302.949912,452.4965842,100.4839988,426.91,301.484323
281.24,71.98,1004.66,57.17,2804.035522,801.0060103,2302.979206,452.5212257,100.488858,426.93,301.4990949
281.24,71.98,1004.66,57.17,2804.077535,801.0159049,2303.009321,452.5459373,100.4934298,426.93,301.5139644
282.07,71.29,1008.43,44.95,2804.119355,801.0257568,2303.038146,452.5707432,100.4982133,426.96,301.5291855
276.86,71.14,1007.11,76.61,2804.15662,801.0356476,2303.06738,452.5953278,100.5027984,426.97,301.5444876
279.83,71.98,1004.32,67.55,2804.199089,801.0455358,2303.095489,452.6200083,100.5076583,426.98,301.5596488
278.86,73.18,1012.46,68.8,2804.236973,801.055401,2303.124518,452.6448452,100.5126904,427.01,301.574185
279.71,73.18,1012.35,63.06,2804.276801,801.0652737,2303.153953,452.6695031,100.5174204,427.04,301.5892097
284.2,68.14,1002.7,56.09,2804.312804,801.0751684,2303.184277,452.6943366,100.5223665,427.05,301.6032967
283.96,68.94,1006.93,47.39,2804.348484,801.0850418,2303.212268,452.7191464,100.5269396,427.06,301.617628
281.12,68.14,1003.67,67.36,2804.389364,801.0948931,2303.241729,452.7438037,100.5318074,427.06,301.6317286
279.96,70.04,1010.15,54.47,2804.425273,801.1047483,2303.272384,452.7686902,100.5368033,427.1,301.6465071
278.43,73.18,1012.52,71.05,2804.463551,801.1146369,2303.300244,452.793606,100.5416399,427.11,301.660619
280.78,73.67,1005.97,58.7,2804.50287,801.124504,2303.329987,452.8181629,100.5464552,427.15,301.6749194
279.75,70.32,1007.35,55.8,2804.541871,801.1343983,2303.360645,452.8429824,100.5513314,427.2,301.689265
276.84,71.94,1006.6,79.12,2804.577686,801.1442777,2303.388503,452.8677652,100.5559507,427.2,301.7043623
278.35,70.32,1009.22,47.13,2804.618936,801.1541236,2303.418814,452.8923127,100.5605289,427.21,301.7195903
277.14,70.32,1007.08,73.08,2804.656103,801.1639817,2303.447315,452.9169731,100.5652159,427.21,301.7346913
281.68,68.24,1005.29,37.34,2804.693741,801.1738297,2303.476522,452.9416338,100.5699192,427.22,301.7498653
279.62,73.18,1012.21,61.6,2804.731163,801.1836647,2303.506929,452.9662403,100.5745024,427.22,301.7651116
279.62,73.18,1012.21,61.6,2804.771925,801.1934981,2303.535045,452.9910137,100.5791225,427.22,301.7795331
283.95,68.14,1002.33,48.98,2804.810299,801.2033811,2303.565414,453.0158939,100.5840218,427.25,301.7938682
283.8,64.96,1004.88,49.37,2804.847228,801.2132618,2303.595463,453.0407479,100.5888323,427.28,301.8083323
282.33,69.89,1014.18,50.93,2804.884022,801.2231528,2303.623691,453.0654919,100.5935559,427.29,301.8231727
279.09,72.43,1006.86,65.47,2804.922053,801.2329858,2303.653188,453.0901863,100.5985076,427.3,301.8384432
281.54,72.58,1007.61,65.57,2804.959303,801.2428388,2303.682162,453.1149173,100.6030704,427.31,301.8526561
278.11,69.84,1004.68,67.08,2804.998094,801.2527218,2303.712546,453.1397357,100.6078276,427.33,301.86731
278.63,66.56,1005.88,64.73,2805.040531,801.2625618,2303.741218,453.1645875,100.6128338,427.35,301.8816238
282.83,74.33,1011.44,50.42,2805.081807,801.2723902,2303.768968,453.1893391,100.6177977,427.36,301.8966285
280.18,68.24,1009.31,64.06,2805.119567,801.2822662,2303.797558,453.2141598,100.6224843,427.38,301.9118278
277.23,71.77,1006.59,77.94,2805.160782,801.2921049,2303.826317,453.2389467,100.6272117,427.39,301.9268405
283.7,68.27,1007.16,50.41,2805.20182,801.3019544,2303.855504,453.2636626,100.6320616,427.4,301.9412669
278.9,71.94,1007.29,64.77,2805.241444,801.3118499,2303.886153,453.2885635,100.6369369,427.41,301.955487
278.33,64.96,999.71,69.66,2805.278001,801.321737,2303.914162,453.3132566,100.6418551,427.42,301.9702033
284.76,68.94,1006.75,41.31,2805.315148,801.3316073,2303.942227,453.3380226,100.6466443,427.42,301.9843659
276.11,69.84,1002.57,84.99,2805.351488,801.3414716,2303.971832,453.362647,100.65162,427.45,301.9986233
279.25,71.94,1007.18,63.62,2805.389244,801.3513149,2304.000997,453.3871809,100.6564041,427.49,302.0132198
276.45,69.13,1001.53,89.64,2805.42747,801.3611761,2304.031175,453.4118863,100.6610807,427.5,302.0274016
276.82,64.96,999.72,63.55,2805.469725,801.3710588,2304.061073,453.4367186,100.6661064,427.51,302.0417358
278.59,69.84,1003.79,67.31,2805.511971,801.3809531,2304.089798,453.4613354,100.6709994,427.53,302.0568589
283.68,68.14,1002.75,56.05,2805.552522,801.3907848,2304.117644,453.4861227,100.6758266,427.53,302.0717918
280.05,66.44,1008.46,76.82,2805.58977,801.4006326,2304.147855,453.5110066,100.6806055,427.55,302.0860125
282.27,71.85,1007.88,56.01,2805.629734,801.4105146,2304.177752,453.5356077,100.6856472,427.56,302.1012943
281.23,72.58,1006.61,60.8,2805.666988,801.4203499,2304.205606,453.5604472,100.6904461,427.58,302.1159777
276.61,72.43,1007.71,75.82,2805.709125,801.4302374,2304.233596,453.5853585,100.6953166,427.61,302.1308969
284.29,68.51,1009.58,32.25,2805.745678,801.4400782,2304.26307,453.6099407,100.6998767,427.62,302.145423
279.57,67.83,1009.19,55.74,2805.785123,801.4499354,2304.291594,453.634733,100.7044604,427.62,302.1602603
279.57,67.83,1009.19,55.74,2805.821053,801.4597746,2304.320908,453.6593829,100.7091061,427.62,302.1751075
282.5,73.68,1014.65,55.72,2805.863512,801.4696643,2304.350067,453.6842304,100.7137253,427.63,302.189452
284.6,64.96,1003.3,34.32,2805.904442,801.4795027,2304.379254,453.7089217,100.718566,427.65,302.2037023
276.27,71.98,1005.72,86.15,2805.944419,801.4893964,2304.408112,453.7334595,100.7234351,427.65,302.2187648
283.42,68.51,1011.91,45.83,2805.985346,801.4992327,2304.437127,453.7583312,100.728331,427.66,302.2328251
277.79,71.85,1008.95,87.35,2806.022916,801.5091247,2304.46544,453.7828866,100.7332182,427.67,302.247114
277.62,68.27,1008.04,63.04,2806.059948,801.5189857,2304.493135,453.8076439,100.7381715,427.67,302.2619659
278.15,71.94,1006.73,68.21,2806.099448,801.5288195,2304.523398,453.8324518,100.7428492,427.69,302.2768625
284.65,74.67,1016.03,26.67,2806.138204,801.5386942,2304.553455,453.8569847,100.7476809,427.69,302.2920599
278,69.05,1000.82,65.24,2806.179278,801.5485661,2304.581906,453.8818542,100.7524999,427.71,302.3073479
278.53,69.84,1004.46,68.03,2806.215123,801.5584006,2304.612333,453.9066938,100.7570572,427.72,302.3221962
281.46,66.54,1002.86,53.75,2806.255295,801.5682853,2304.64246,453.9313827,100.761696,427.76,302.3362668
274.9,71.77,1006.24,85.25,2806.297091,801.5781243,2304.670539,453.9562339,100.7666454,427.77,302.3513012
279.54,69.48,1008.91,56.07,2806.339123,801.5879704,2304.698478,453.9810888,100.771405,427.82,302.3657099
280.93,71.85,1008.63,58.47,2806.376357,801.5978193,2304.728665,454.0057323,100.7760034,427.82,302.3805773
281.88,66.44,1009.25,64.06,2806.414717,801.6076678,2304.756898,454.0306298,100.7809171,427.83,302.3954223
278.18,71.85,1008.78,82.88,2806.456175,801.6175561,2304.785994,454.0552347,100.7856832,427.83,302.4107235
284.3,74.67,1015.98,25.89,2806.496718,801.6274417,2304.813782,454.0800447,100.7905642,427.84,302.4257122
282.33,67.83,1008.11,57.48,2806.539154,801.6373272,2304.842293,454.104758,100.795292,427.84,302.4406528
282.46,74.33,1012.61,37.07,2806.580601,801.6471571,2304.870076,454.1292857,100.7999051,427.87,302.4552139
279.19,70.32,1008.28,55.42,2806.61697,801.6569974,2304.899185,454.1541518,100.8047315,427.9,302.4698914
278.81,64.96,1000.46,68.05,2806.65922,801.6668605,2304.928575,454.1787105,100.8094919,427.91,302.4847964
279.01,68.08,1010.74,52.51,2806.700084,801.6767146,2304.957287,454.2034586,100.8143565,427.91,302.4993162
280.47,68.24,1009.55,64.98,2806.740723,801.6865848,2304.985368,454.228124,100.819217,427.94,302.5143759
282,71.85,1008.44,53.59,2806.777723,801.6964633,2305.014611,454.252777,100.8237916,427.95,302.5293129
281.7,69.13,1000.29,46.27,2806.814662,801.7063247,2305.044356,454.2776684,100.8283539,427.95,302.5439354
279.39,68.24,1009.06,66.76,2806.853815,801.7161645,2305.074409,454.3025239,100.8331773,427.96,302.5589977
279.39,68.24,1009.06,66.76,2806.892832,801.7260227,2305.103799,454.3272909,100.8379165,427.96,302.5733296
283.94,74.67,1015.94,28.16,2806.929735,801.7358567,2305.132613,454.3520374,100.8426326,427.98,302.587863
277.44,66.56,1005.51,69.28,2806.968433,801.7457284,2305.161079,454.3766765,100.8475115,428,302.6030684
277.37,72.58,1008.16,79.94,2807.006697,801.7555965,2305.189579,454.4014421,100.852355,428.05,302.6179724
278.32,72.58,1007.77,78.35,2807.044396,801.7654882,2305.220014,454.4262581,100.8572594,428.06,302.6325571
278.62,68.24,1010.15,69.31,2807.084648,801.7753538,2305.248322,454.4510743,100.8619402,428.08,302.64701
277.02,71.77,1006.38,72.1,2807.125079,801.7851932,2305.276647,454.4759281,100.8669228,428.1,302.6620282
282.32,67.9,1006.08,37.93,2807.162876,801.7950424,2305.305388,454.5006269,100.8717041,428.12,302.6761859
283.83,67.9,1005.94,29.86,2807.204882,801.8049171,2305.334922,454.5253012,100.876608,428.12,302.6910926
279.34,71.98,1005.19,75.19,2807.245631,801.8148106,2305.363349,454.5500867,100.8813917,428.24,302.7061489
278.61,69.84,1004.02,67.26,2807.284576,801.8246708,2305.391838,454.574742,100.8862981,428.25,302.7209827
280.97,67.9,1005.98,55.6,2807.32535,801.8345348,2305.420173,454.599316,100.8911726,428.26,302.7359819
277.49,71.94,1008.25,68.29,2807.362833,801.8444134,2305.449094,454.6240903,100.8957213,428.27,302.7503472
280.71,68.27,1007.76,68.04,2807.403778,801.8542516,2305.478352,454.6487337,100.9005473,428.27,302.7648127
280.28,74.67,1016.45,55.76,2807.442484,801.8641339,2305.506362,454.6732829,100.9053879,428.27,302.7794355
278.99,68.24,1008.75,66.57,2807.478409,801.8739723,2305.535893,454.6982033,100.910148,428.28,302.7939022
279.01,66.56,1006.44,57.62,2807.518533,801.8838539,2305.565393,454.7230204,100.9147243,428.32,302.8085423
280.34,68.08,1010.85,49.4,2807.558042,801.8937113,2305.593983,454.7475906,100.919637,428.34,302.8235272
280.34,68.08,1010.85,49.4,2807.597817,801.9036076,2305.623203,454.7724027,100.9242706,428.34,302.8382087
281.16,67.45,1014.69,32.25,2807.636494,801.9134801,2305.652255,454.7971381,100.9291386,428.35,302.8533165
282.51,69.98,1011.92,49.45,2807.672465,801.9233398,2305.680895,454.8217691,100.933726,428.37,302.8684856
280.19,66.54,1004.39,61.43,2807.710076,801.9331879,2305.709575,454.8463194,100.9385527,428.37,302.8828626
279.05,71.85,1008.6,78.69,2807.749659,801.9430458,2305.738113,454.870984,100.9432309,428.39,302.8971698
277.87,70.79,1003.96,72.17,2807.787032,801.9528822,2305.768566,454.8956325,100.9481903,428.41,302.9121288
279.97,70.32,1007.44,53.26,2807.827398,801.9627209,2305.79765,454.9204754,100.9528461,428.42,302.9268201
279.79,68.24,1009.19,65.49,2807.869106,801.9725818,2305.826791,454.9451893,100.9578677,428.44,302.9415663
277.98,71.98,1005.58,81,2807.905152,801.9824758,2305.854772,454.969896,100.9625813,428.44,302.9567608
282.31,66.44,1009.6,63.92,2807.942813,801.9923222,2305.884183,454.9946154,100.9675383,428.44,302.971722
278.31,74.33,1011.89,69.77,2807.984254,802.0021648,2305.913626,455.0193714,100.9722439,428.46,302.9867471
285.01,74.67,1016.1,26.3,2808.024386,802.0120377,2305.941945,455.0440137,100.9769569,428.48,303.0019616
279.71,71.85,1008.81,70.86,2808.066894,802.0218705,2305.970342,455.0687168,100.9818894,428.49,303.0164984
276.37,70.79,1005.31,77.3,2808.108977,802.0317672,2305.998304,455.0934729,100.9864618,428.5,303.0318087
276.41,68.24,1010.6,77.79,2808.147466,802.0416217,2306.028528,455.1181811,100.991289,428.52,303.0471126
279.18,68.24,1010.04,68.04,2808.185658,802.0514756,2306.05844,455.1429025,100.9960401,428.52,303.0617365
279.46,71.94,1006.96,62.26,2808.221745,802.0613551,2306.086517,455.167688,101.0005963,428.54,303.0766667
284.63,74.33,1011.7,31.45,2808.258568,802.0711914,2306.115362,455.1923034,101.0055643,428.54,303.0910252
279.46,71.94,1006.96,62.26,2808.299121,802.0810606,2306.143829,455.2171495,101.0101282,428.54,303.1062261
278.02,71.77,1006.5,72.41,2808.335586,802.0909488,2306.171953,455.2416761,101.0148961,428.58,303.1211095
280.01,68.27,1006.88,51.67,2808.372529,802.1008051,2306.200865,455.2665115,101.0197286,428.6,303.1354007
276.37,69.84,1002.71,83.51,2808.408321,802.1106687,2306.230053,455.2913638,101.0244653,428.6,303.1505632
278.88,71.98,1005.37,74.24,2808.446992,802.1205155,2306.25864,455.316276,101.0294928,428.61,303.1648982
276.8,72.58,1008.94,78.24,2808.484069,802.1304135,2306.287278,455.3409048,101.0343774,428.62,303.1800343
283.6,74.33,1012.31,35.66,2808.523541,802.1402868,2306.31674,455.3654851,101.0390026,428.62,303.1949187
281.07,64.96,1005.2,58.93,2808.559443,802.1501583,2306.345645,455.3901577,101.0439968,428.63,303.2090105
281.2,68.24,1005.71,34.84,2808.598789,802.1600513,2306.375204,455.4150198,101.0486649,428.67,303.2236095
277.94,69.84,1003.11,70.47,2808.634984,802.1699292,2306.404926,455.4398792,101.0535695,428.67,303.2376436
268.26,61.27,1019.1,74.74,2808.671039,802.1797581,2306.434177,455.464629,101.058311,428.67,303.2518188
281.1,68.51,1012.99,54.3,2808.711262,802.1896014,2306.464305,455.4893265,101.062963,428.68,303.2658539
279.64,69.51,1012.13,44.65,2808.751017,802.1994432,2306.494736,455.5138915,101.0676671,428.69,303.2803569
282,73.17,1009.94,40.48,2808.792645,802.2093187,2306.522979,455.5386168,101.0726283,428.69,303.2947562
276.86,72.58,1009.22,88.39,2808.833457,802.2191667,2306.55154,455.5634099,101.0774725,428.69,303.3088385
279.79,67.69,1006.86,55.93,2808.875547,802.22906,2306.58138,455.5882067,101.0820749,428.71,303.3241298
276.02,70.79,1004.21,79.12,2808.915404,802.2389076,2306.610812,455.6130091,101.0868501,428.72,303.3390639
280.2,73.67,1006.31,62.14,2808.956609,802.2487468,2306.639341,455.6378664,101.0914288,428.72,303.3539835
281.85,68.3,1014.76,47.06,2808.99552,802.2586443,2306.6675,455.6624831,101.0961358,428.72,303.3690612
279.29,72.58,1007.39,72.85,2809.03333,802.2684995,2306.696033,455.6873414,101.101172,428.73,303.3837408
275.54,69.13,1001.64,90.98,2809.07027,802.2783698,2306.725892,455.7119539,101.1060069,428.74,303.3983348
278.28,69.48,1008.56,61.3,2809.111524,802.2882295,2306.754121,455.7368423,101.1107102,428.75,303.4132657
281.3,70.79,1004.3,54.37,2809.149798,802.2981113,2306.783072,455.7616657,101.1157255,428.75,303.4277949
277.62,72.43,1007.54,71.33,2809.188032,802.3079962,2306.813025,455.7864866,101.120722,428.76,303.4423373
281.25,69.51,1010.25,36.83,2809.227567,802.3178624,2306.841203,455.8111372,101.1255823,428.77,303.4574085
279.55,67.69,1004.88,48.68,2809.268776,802.3277287,2306.87032,455.8359208,101.1302411,428.77,303.4722471
277.19,64.96,1006.71,73.99,2809.304415,802.3375762,2306.898891,455.8604984,101.1350643,428.79,303.4875316
280.51,70.79,1004.55,56.05,2809.340017,802.3474738,2306.927277,455.8851365,101.1400417,428.79,303.5021477
276.63,73.68,1015.15,85.13,2809.378724,802.3573122,2306.9579,455.9097571,101.1448886,428.8,303.5172888
277.53,72.58,1009.13,89.06,2809.414394,802.3672087,2306.988305,455.9343686,101.149926,428.83,303.5323237
276.3,71.94,1006.64,85.12,2809.454016,802.37705,2307.016683,455.9590671,101.1545205,428.83,303.5476066
282.55,69.89,1013.87,40.09,2809.495631,802.3869371,2307.045714,455.9837734,101.1592734,428.84,303.5622948
278.83,72.43,1006.69,67.04,2809.537589,802.3968277,2307.074224,456.0086231,101.1641619,428.85,303.5764218
278.07,74.33,1012,71.69,2809.57989,802.4067054,2307.102756,456.0334582,101.1688449,428.87,303.5908254
